ALIGN,ID,page_id,name,urlslug,EYE,HAIR,SEX,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
-,-,9999,-,-,-,-,-,-,0.0,-0,0.0
Good Characters,No Dual Identity,2460,Thor (Thor Odinson),\/Thor_(Thor_Odinson),Green Eyes,Red Hair,Male Characters,Living Characters,2258.0,Nov-50,1.965
Good Characters,Public Identity,65255,Warren Worthington III (Earth-616),\/Warren_Worthington_III_(Earth-616),Grey Eyes,White Hair,Male Characters,Living Characters,3360.0,Sep-64,1.975
Good Characters,Secret Identity,35350,Spider-Man (Peter Parker),\/Spider-Man_(Peter_Parker),Yellow Eyes,Brown Hair,Male Characters,Living Characters,4043.0,Sep-63,1.975
Neutral Characters,No Dual Identity,7823,Nicholas Fury (Earth-616),\/Nicholas_Fury_(Earth-616),Green Eyes,Brown Hair,Male Characters,Living Characters,1266.0,Nov-61,1.963
Neutral Characters,Public Identity,64786,"Wolverine (James \""Logan\"" Howlett)",\/Wolverine_(James_%22Logan%22_Howlett),Brown Eyes,Brown Hair,Male Characters,Living Characters,3061.0,Sep-63,1.974
